source,target,weight
ASIR,AIAL,1
ASIR,AIAR,4
ASIR,AIBR,3
ASIR,ASEL,2
ASIR,ASER,2
ASIR,ASGR,3
ASIR,ASHR,2
ASIR,AWAR,1
ASIR,AWCL,2
ASIR,AWCR,5
ASIR,CEPVR,1
ASJL,ALA,3
ASJL,ASKL,12
ASJL,ASKR,1
ASJL,CEPDL,1
ASJL,HSNL,1
ASJL,HSNR,1
ASJL,PVQL,34
ASJR,ASKR,12
ASJR,HSNR,1
ASJR,PVQR,19
ASKL,AIAL,29
ASKL,AIBL,9
ASKL,AIML,5
ASKL,ASER,4
ASKL,ASJL,1
ASKR,ADLR,3
ASKR,AIAL,1
ASKR,AIAR,35
ASKR,AIBR,2
ASKR,AIMR,5
ASKR,ALA,1
ASKR,ASER,1
ASKR,ASGR,1
ASKR,AWAR,2
ASKR,CEPVR,2
ASKR,HSNL,1
ASKR,RIFR,1
AUAL,ADFL,1
AUAL,AIBR,1
AUAL,AIYL,1
AUAL,AIZL,2
AUAL,AVAL,11
AUAL,AVDR,2
AUAL,AVEL,9
AUAL,BAGR,3
AUAL,DVA,2
AUAL,RIAL,21
AUAL,RIBL,35
AUAL,URXL,1
AUAR,AINL,1
AUAR,AINR,1
AUAR,AIYR,1
AUAR,AIZR,2
AUAR,AVAR,3
AUAR,AVER,13
AUAR,BAGL,1
AUAR,RIAR,22
AUAR,RIBR,31
AUAR,URXR,5
AVAL,AS02,2
AVAL,AS04,2
AVAL,AS05,6
AVAL,AS07,6
AVAL,AS08,6
AVAL,AS10,5
AVAL,AS11,8
AVAL,AVAR,12
AVAL,AVBL,2
AVAL,AVDL,3
AVAL,AVDR,2
AVAL,AVEL,1
AVAL,AVER,2
AVAL,DA01,6
AVAL,DA02,10
AVAL,DA03,12
AVAL,DA04,12
AVAL,DA05,14
AVAL,DA06,1
AVAL,DA07,4
AVAL,DA08,5
AVAL,DA09,3
AVAL,DB05,2
AVAL,DB07,2
AVAL,LUAL,6
AVAL,LUAR,2
AVAL,PVCL,21
AVAL,PVCR,16
AVAL,PVNL,1
AVAL,RIAL,3
AVAL,SABVL,2
AVAL,VA01,2
AVAL,VA02,8
AVAL,VA03,6
AVAL,VA04,7
AVAL,VA05,7
AVAL,VA06,8
AVAL,VA07,7
AVAL,VA08,7
AVAL,VA09,7
AVAL,VA10,9
AVAL,VA11,6
AVAL,VA12,5
AVAR,AS01,2
AVAR,AS02,3
AVAR,AS04,2
AVAR,AS05,1
AVAR,AS06,2
AVAR,AS07,6
AVAR,AS08,10
AVAR,AS09,10
AVAR,AS11,10
AVAR,AVAL,7
AVAR,AVBL,3
AVAR,AVBR,4
AVAR,AVDL,3
AVAR,AVDR,6
AVAR,AVEL,2
AVAR,AVER,3
AVAR,DA01,2
AVAR,DA02,9
AVAR,DA03,8
AVAR,DA04,9
AVAR,DA05,9
AVAR,DA06,4
AVAR,DA07,6
AVAR,DA08,20
AVAR,DA09,3
AVAR,DB02,2
AVAR,DB03,2
AVAR,DB05,2
AVAR,LUAL,4
AVAR,LUAR,16
AVAR,PDEL,3
AVAR,PDER,3
AVAR,PVCL,20
AVAR,PVCR,20
AVAR,RIGL,1
AVAR,SAAVR,6
AVAR,SABVR,2
AVAR,SMDVR,1
AVAR,VA02,5
AVAR,VA03,6
AVAR,VA04,6
AVAR,VA05,2
AVAR,VA06,9
AVAR,VA07,7
AVAR,VA08,7
AVAR,VA09,7
AVAR,VA10,4
AVAR,VA11,13
AVBL,AS04,1
AVBL,AS05,2
AVBL,AS10,2
AVBL,AVAL,9
AVBL,AVAR,14
AVBL,AVBR,6
AVBL,AVDR,3
AVBL,AVEL,1
AVBL,AVER,1
AVBL,AVJR,1
AVBL,AVL,1
AVBL,DA05,1
AVBL,DA07,1
AVBL,DVA,2
AVBL,PVCR,2
AVBL,PVNR,3
AVBL,PVPR,3
AVBL,SDQL,1
AVBL,VA02,3
AVBL,VA10,1
AVBL,VA11,1
AVBL,VB02,3
AVBL,VC03,3
AVBR,AIBR,1
AVBR,AS01,2
AVBR,AS03,3
AVBR,AS04,1
AVBR,AS05,2
AVBR,AS10,1
AVBR,AVAL,10
AVBR,AVAR,14
AVBR,AVBL,2
AVBR,AVDL,4
AVBR,AVER,2
AVBR,AVJL,2
AVBR,DA03,3
AVBR,DA07,1
AVBR,HSNR,1
AVBR,VA04,2
AVBR,VA07,1
AVBR,VD03,2
AVDL,AS04,2
AVDL,AS10,1
AVDL,AS11,4
AVDL,AVAL,37
AVDL,AVAR,37
AVDL,AVDR,5
AVDL,AVEL,5
AVDL,AVJL,1
AVDL,DA01,4
AVDL,DA02,2
AVDL,DA03,9
AVDL,DA04,3
AVDL,DA05,1
AVDL,DA08,2
AVDL,DVC,2
AVDL,LUAL,2
AVDL,PVCL,1
AVDL,SABD,5
AVDL,SABVL,2
AVDL,SABVR,5
AVDL,VA01,2
AVDL,VA03,3
AVDL,VA05,1
AVDL,VA10,2
AVDL,VA12,1
AVDR,ALA,1
AVDR,AS10,2
AVDR,AS11,3
AVDR,AVAL,41
AVDR,AVAR,52
AVDR,AVBL,1
AVDR,AVDL,3
AVDR,AVER,2
AVDR,AVJR,1
AVDR,DA01,5
AVDR,DA02,5
AVDR,DA03,3
AVDR,DA04,2
AVDR,DA05,3
AVDR,DA06,1
AVDR,DA08,1
AVDR,DA09,1
AVDR,DB01,1
AVDR,DB04,1
AVDR,DVC,4
AVDR,LUAL,3
AVDR,PQR,3
AVDR,PVCR,2
AVDR,SABD,1
AVDR,SABVL,5
AVDR,SABVR,1
AVDR,VA02,1
AVDR,VA03,2
AVDR,VA05,3
AVDR,VA11,1
AVEL,ALML,1
AVEL,AS01,3
AVEL,AS03,2
AVEL,AVAL,17
AVEL,AVAR,3
AVEL,AVDL,5
AVEL,DA01,11
AVEL,DA02,5
AVEL,DA03,6
AVEL,DA04,1
AVEL,DB03,1
AVEL,DB04,1
AVEL,PVCL,1
AVEL,PVCR,2
AVEL,PVT,1
AVEL,RMGL,2
AVEL,SABD,18
AVEL,SABVL,16
AVEL,SABVR,12
AVEL,VA01,12
