a,b,weight
AVFL,AVHL,4
AVFL,AVHR,5
AVFL,PVCL,1
AVFL,PVNR,1
AVFL,PVPL,2
AVFL,PVQR,5
AVFL,VC04,1
AVFL,VC05,1
AVFL,VD12,3
AVFR,AVHL,11
AVFR,AVHR,7
AVFR,PVPL,3
AVFR,PVQL,2
AVFR,RMGL,1
AVFR,VB01,1
AVFR,VC04,1
AVFR,VC05,1
AVG,AVHR,4
AVG,AVJR,1
AVG,DD06,1
AVG,DVC,12
AVG,PHAL,3
AVG,PHAR,2
AVG,PHCR,1
AVG,PVDL,1
AVG,PVPL,3
AVG,PVT,4
AVG,RIFR,3
AVHL,AVHR,15
AVHL,AVJR,6
AVHL,DB07,3
AVHL,LUAL,1
AVHL,PHAL,1
AVHL,PHBL,1
AVHL,PHBR,10
AVHL,PVNL,1
AVHL,PVPR,6
AVHL,VD12,8
AVHR,AVJL,3
AVHR,AVJR,2
AVHR,DA08,5
AVHR,DD06,1
AVHR,DVC,4
AVHR,PHAR,2
AVHR,PHBL,2
AVHR,PHBR,2
AVHR,PVPL,4
AVHR,PVPR,3
AVHR,PVQL,3
AVHR,PVQR,2
AVHR,SIAVL,1
AVHR,VD12,13
AVJL,AVJR,10
AVJL,LUAL,5
AVJL,LUAR,1
AVJL,PDB,2
AVJL,PQR,5
AVJL,PVCL,3
AVJL,PVCR,19
AVJL,PVNL,5
AVJL,PVPR,1
AVJL,PVT,1
AVJL,PVWL,3
AVJL,PVWR,5
AVJL,RIFR,1
AVJL,RIS,15
AVJR,LUAR,1
AVJR,PHBL,1
AVJR,PHCR,1
AVJR,PQR,2
AVJR,PVCL,3
AVJR,PVCR,1
AVJR,PVNL,1
AVJR,PVNR,5
AVKL,AVKR,9
AVKL,AVL,3
AVKL,DVA,18
AVKL,PDER,1
AVKL,PVM,1
AVKL,PVPL,3
AVKL,PVPR,6
AVKL,PVT,5
AVKL,RICR,2
AVKL,RIGL,2
AVKL,RIGR,1
AVKL,SMBDL,2
AVKL,SMBDR,2
AVKL,SMBVL,6
AVKL,SMBVR,2
AVKL,VB10,1
AVKL,VB11,1
AVKR,PDEL,1
AVKR,PVPL,22
AVKR,PVQL,2
AVKR,PVT,1
AVKR,RICL,4
AVKR,RIGR,2
AVKR,RIMR,1
AVKR,SMBDL,1
AVKR,SMBDR,9
AVKR,SMBVR,6
AVL,DA09,4
AVL,DD06,28
AVL,DVB,14
AVL,DVC,22
AVL,PDA,3
AVL,PVPL,1
AVL,PVPR,8
AVL,PVT,6
AVL,PVWR,3
AVL,VD11,1
AVL,VD12,2
AVL,VD13,5
AVM,PVR,4
AWAL,AWAR,2
AWBL,AWBR,3
AWBL,RMGL,1
AWBR,RICL,4
AWBR,RMGR,1
BAGL,BAGR,1
BAGL,RIGL,1
BAGL,RIGR,2
BAGL,RIR,4
BAGR,RIR,5
BDUL,PVNL,1
BDUR,HSNL,1
BDUR,HSNR,1
BDUR,PVR,3
CANL,PVDL,100
CANR,PVDR,100
CEPDL,OLQDL,2
CEPDR,OLQDR,8
CEPVL,OLQVL,4
CEPVL,RIH,1
CEPVL,URAVL,3
CEPVR,IL2VR,1
CEPVR,OLQVR,1
DA01,DA02,1
DA01,FLPR,5
DA01,SABVR,1
DA02,DA05,1
DA02,FLPR,6
DA02,VA01,9
DA02,VA05,3
DA03,DA04,1
DA03,DA05,1
DA03,FLPR,16
DA03,PVDL,1
DA03,VA02,1
DA03,VA06,1
DA04,PVCL,1
DA04,VA03,1
DA05,PVDL,1
DA06,DB01,1
DA07,DA08,1
DA07,PVCL,1
DA07,PVCR,3
DA08,DA09,15
DA08,DD06,2
DA08,DVB,5
DA08,PDA,1
DA08,PVCL,17
DA08,PVQL,1
DA08,VA10,2
DA08,VA12,6
DA09,DVA,3
DA09,PDA,9
DA09,PHCR,7
DA09,PVCR,3
DA09,PVR,15
DA09,RID,1
DA09,VA11,3
DA09,VA12,1
DA09,VB11,1
DA09,VD13,2
DB01,DB02,5
DB01,DVA,3
DB01,PVDL,1
DB01,RID,2
DB01,VB03,5
DB02,DB03,14
DB02,VB01,1
DB02,VB04,1
DB03,DB04,1
DB03,DD03,1
DB03,PVM,2
DB03,RID,1
DB03,VB06,1
DB04,DB05,5
DB04,DD03,1
DB04,VB07,1
DB05,DB06,5
DB06,DB07,5
DB07,DVA,3
DB07,PDB,2
DB07,PVCL,8
DB07,PVCR,2
DB07,PVR,4
DB07,VA10,1
DD01,DD02,6
DD01,FLPL,1
DD01,HSNR,1
DD01,RIFR,2
DD01,SABVR,1
DD01,VC01,1
DD01,VD01,1
DD01,VD02,3
DD01,VD03,4
DD02,DD03,2
DD02,VD03,1
DD02,VD04,2
DD02,VD05,1
DD03,DD04,3
DD03,VD05,1
DD03,VD06,2
DD03,VD07,1
DD04,DD05,3
DD04,VC02,2
DD04,VC03,2
DD04,VD07,1
DD04,VD08,2
DD04,VD09,1
DD05,DD06,3
DD05,VD09,1
DD05,VD10,2
DD05,VD11,1
DD06,DVB,3
DD06,DVC,1
DD06,PDA,1
DD06,PDB,2
DD06,PVCL,1
DD06,PVPL,2
DD06,PVPR,9
DD06,PVT,3
DD06,VA12,7
DD06,VD11,3
DD06,VD12,14
DD06,VD13,2
DVA,DVC,1
DVA,PDA,1
DVA,PDEL,3
DVA,PDER,6
DVA,PVCL,3
DVA,PVCR,1
DVA,PVM,1
DVA,PVPL,1
DVA,PVR,15
DVA,PVT,8
DVA,SAAVR,1
DVA,SDQL,1
DVA,SDQR,1
DVA,SIADR,1
DVA,SIAVR,1
DVA,VA11,1
DVB,DVB,2
DVB,DVC,15
DVB,PVPL,4
DVB,PVPR,4
DVB,PVQR,1
DVB,PVT,3
DVB,VD13,5
DVC,PVDR,1
DVC,PVNR,1
DVC,PVPL,20
DVC,PVPR,34
DVC,PVQR,7
DVC,PVT,11
DVC,VC05,1
DVC,VC06,1
DVC,VD01,2
DVC,VD11,1
DVC,VD13,1
FLPL,FLPR,6
FLPL,RIH,1
FLPL,SDQL,1
FLPL,SIADR,1
HSNL,HSNR,1
HSNL,PVNR,2
HSNL,PVPL,1
HSNL,RIFL,1
HSNR,PVNR,2
HSNR,PVPR,1
I1L,I2L,2
I1L,M3L,2
I1L,MCR,1
I1L,NSML,3
I1L,RIPL,2
I1R,I2R,1
I1R,I3,1
I1R,MCR,4
I1R,NSMR,2
I1R,RIPR,2
I2L,I4,1
